Address,Bedrooms,Bathrooms,Last Update,Tenancy period,Viewed,Rated by,Rating,Subratings,author_name,author_role,comment_body,comment_time,Rent
"57 Phoenix Way
LONDON
SW18 2PW
UNITED KINGDOM",2,2,Aug 08 2022,Mar 2021 - Oct 2022,6 times,philip-long,9.4/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.5', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",Philip Long,Tenant,"My experience with this property and its landlord has been extremely positive. The property\'s furnishings & facilities are great and we have very rarely experienced any issues with them. Those that have come up have always been fixed or dealt with swiftly. For example, the shower door came loose and a contractor was sent to review and replace it within the space of a week. Communication has always been clear and helpful, for example if window cleaners are present on certain days. The landlord has also been accommodating of our requests, for example with placing some furniture in an on-site storage locker - and has personally helped us with this process. Overall, the property has been excellent and couldn\'t really wish for a better landlord - this has been the most hassle free tenancy I\'ve experienced.",08-08-2022 02:39 PM,
"22 Darfield Walk
BIRMINGHAM
B12 0UA
UNITED KINGDOM",3,1,Sep 02 2020,Aug 2019 - Aug 2020,44 times,asteroiddroid,-1.0/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.75', 'Noise Levels': '0', 'Rodents/Insects': '-2', 'Induction': '0', 'Parking': '', 'Safety': '0', 'Traffic': '', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': '0'}",AsteroidDroid,Tenant,"When moving in, the place was a mess with rubbish from the previous tenants. Among the rubbish was a used condom which would seem rather comedic had this not been the place I would be living in. The mattresses in the property where very dirty, one of the beds was partially broken causing the dirty mattress to slope down in the middle and the one of the headboards had the leather partially torn off. The light bulbs provided did not work and when the same light bulbs where put back in prior to us moving out, Landlord used this as an excuse to deduct from our deposit.

There where mould problems which the landlord,  would not remedy bar telling us to wipe it down with bleach. We were told the kitchen ceiling was to be painted soon after we moved in, however this didn\&#39;t happen for the entire length of out tenancy. We where unable to use the shower due to it leaking through to the kitchen via the ceiling. The washing machines provided broke down several times and where replaced with similarly faulty ones. The lock to the stairs would get jammed preventing access to the property and needed to be removed by a neighbor. The same lock was broken for most of the tenancy.

There often where drug users that would hang out in the stairs leading up to the property who would leave sterile water containers used to prepare drugs for injection laying around on the stairs along with other rubbish. Along side this, the people from the hostel next door along with some neighbors would harass you as you\&#39;re coming home. The people from the hostel and kids of the neighbors would constantly litter on the grassy area outside of the property. The kids living in the area would also leave sweet wrappers in the staircase causing one to always be met with a swarm of flies when entering going up to the property.",05-09-2020 10:49 AM,£950
Flat 206 Textile House 1 Killick Way London E1,1,1,Oct 01 2016,Nov 2014 - Mar 2016,1043 times,leukos,5.4/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.5', 'Brightness': '0.35', 'Noise Levels': '0', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0.5', 'Landlord/Agents': '0', 'Deposit refund': '0'}",,,,,£1615
66 Richmond Road Cardiff,1,1,Jan 21 2017,Jul 2012 - Jul 2013,465 times,fuzzybear,5.5/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.5', 'Brightness': '0.75', 'Noise Levels': '0.25', 'Rodents/Insects': '-2', 'Induction': '0.5', 'Parking': '', 'Safety': '1.5', 'Traffic': '0.3', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",Fuzzybear,Tenant,"We were in flat 3, right at the top. Actually stayed in this property from 2009 to 2012 but it won\'t allow me to add those dates. Nice little property at the time. Though mold and damb were an issue at times and it wasn\'t corrected when we lived there. Otherwise a nice little starter flat for couple/single person.",21-01-2017 03:00 AM,£500
"E6 1AJ, 7 Washington Road, , London",4,2,Apr 28 2018,May 2016 - Jun 2016,78 times,nazmul,-2.4/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '0', 'Flooring & Carpets': '0', 'Brightness': '0.35', 'Noise Levels': '0', 'Rodents/Insects': '-5', 'Induction': '0', 'Parking': '0', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",Nazmul,Tenant,This property is managed by Pure estate. Tenants stay away from Pure Estate. They will never fix any problem and you will never get back your deposit.,28-04-2018 09:36 AM,
Apartment 58 City Walk Apartments 65 Irving Street Birmingham,2,1,Oct 25 2017,Mar 2017 - Sep 2017,978 times,alessandroz,8.0/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.75', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0.5', 'Parking': '0.3', 'Safety': '0.75', 'Traffic': '0', 'Energy Bills': '0.5', 'Landlord/Agents': '1.5', 'Deposit refund': '1'}",AlessandroZ,Tenant,"The flat is bright and reasonably clean (it has a carpet floor so it might need some professional clean from time to time).
The landlord is a kind and available person.
The flat windows are slightly un-efficient so that sometimes it can be a bit too noisy",25-10-2017 04:19 AM,£550
17 Burnaby Street Sunderland,4,1,Jan 05 2017,Jan 2015 - Jan 2016,27 times,llmn88,4.4/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0.25', 'Parking': '0.3', 'Safety': '0.75', 'Traffic': '', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",Oceanblue,Tenant,"A shared student house owned by an unreliable private landlord who took ages to fix an issue. The drainage in the shower was blocked before we moved in but the landlord put the blame on current tenants and demanded us to pay for the repair. Had issues with refunding deposits. No full tenancy contract was given although being requested, only two pages. A full year rent was required to pay by cash at the beginning of the tenancy and therefore students had no choice but to stay till the end of the contract despite poor housing condition. Cheap rental was especially appealing to new or international students who were new to the area. Students felt threatened as landlord behaved aggresively if students issued complaints about the house condition. The front door of the house which was supposed to serve as the main access to the building was broken and landlord never fixed it. The door for the kitchen of the house leading to the yard was used as the main access and the street at the back of the house was dark. These caused the house relatively unsafe to live in.",05-01-2017 12:18 PM,£35
"13 Newman Avenue
WIGAN
WN6 7RE
UNITED KINGDOM",3,1,Mar 27 2021,Dec 2018 - Mar 2021,73 times,vunerableadult,4.9/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.35', 'Noise Levels': '0.5', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0.3', 'Safety': '1.5', 'Traffic': '0.5', 'Energy Bills': '0.5', 'Landlord/Agents': '0', 'Deposit refund': ''}",VunerableAdult,Tenant,"The landlords are very rude and get aggressive very easily, like to blame all issues with the property on the tenant which is nigh impossible for many issues such as the roof and pointing around the house as well as rotted fences and plaster peeling away from walls. 
When made aware of issues you don\'t hear anything for weeks usually months and you get treated very badly by them when you politely remind them or ask them about the pending repairs.
They also try to scare you out of the tenancy with threats of illegal eviction and refusal to carry out repairs. They also aren\'t afraid to lie to authorities to try get out of any crimes they commit (such as attempted assault, illegal eviction and harassment.)",27-03-2021 05:22 PM,
42 Oxney Road Manchester,5,2,Sep 19 2016,Feb 2012 - Apr 2012,1020 times,ymberlenis,-2.1/10,"{'Leaks / Boiler': '0', 'Mould & Condensation': '0', 'Flooring & Carpets': '0.25', 'Brightness': '0.75', 'Noise Levels': '0.5', 'Rodents/Insects': '-5', 'Induction': '0', 'Parking': '', 'Safety': '0.75', 'Traffic': '0.3', 'Energy Bills': '0.25', 'Landlord/Agents': '0', 'Deposit refund': '0'}",Ymberlenis,Tenant,"This property is a house share with a private landlord who had very little regard for tenant safety, comfort or privacy. He entered rooms without advance notice or permission of any kind. He collected tenants\' shares of bills and used the money instead for personal expenses, leaving tenants without internet access often, and, having put various accounts in various tenants\' names, affecting their credit standing. He would make large repairs himself, despite being unqualified to do so, in order to save money. Said repairs were lacking in integrity or sustainability, and were often completed, loudly, in the wee hours of the morning. One such repair involved removing an entire window and not replacing it for two weeks, in the winter, creating a substantial security and health risk. He rented rooms the council deemed too small to be a living area. He did nothing to address infestations of mice and cockroaches. This property should be avoided at all costs.",19-09-2016 04:25 AM,£325
"Flat F
64 Queens Grove
LONDON
NW8 6ER
UNITED KINGDOM",3,2,Feb 18 2019,Nov 2017 - May 2018,22 times,tissue,5.3/10,"{'Leaks / Boiler': '1', 'Mould & Condensation': '1', 'Flooring & Carpets': '0.25', 'Brightness': '0.75', 'Noise Levels': '0.25', 'Rodents/Insects': '1', 'Induction': '0', 'Parking': '0.3', 'Safety': '0.75', 'Traffic': '0.5', 'Energy Bills': '0', 'Landlord/Agents': '0', 'Deposit refund': '0'}",Tissue,Tenant,"My flatmate acted in behalf of the landlord . Instead of 3 female professional living in the flat, it turned out that we were actually  5 people living in the flat. My flatmate/landlord lied at me , suddendly she was married and also her best friend stayed with us at night in the flat !!! Her husband spent the weekends and one day of the week with us.The doors ( bedroom, sitting room, bathroom ) were left open all the time. No privacy , I could not even go to the kitchen to make  cup of tea at night because the doors were open and the noise or light would wake her up.  Utility bills were divided only by 3  instead of 5 people. We could not open the kitchen window after cooking, the dishwasher was broken , the fridge was very dirty and old, leaking  and full of ice, bins full and stinky, the list could go on and on. The worst place I have ever lived in .",08-01-2020 05:33 AM,£1000
